KEY,MOSS,DISPLAY,IS_DISPLAY
_OWN,Own,Own,1
_RENT,Rent,Rent,1
_LIVE_WITH_PARENTS,Live With Parents,Live With Parents,0
_DORMITORY,Dormitory,Dormitory,0
_CHOICE_NOT_LISTED,Choice Not Listed,Not Listed,1
