KEY,MOSS,DISPLAY,IS_DISPLAY
_0,0,Less than 1 year,1
_1,1,1-3 years,1
_2,2,1-3 years,0
_3,3,1-3 years,0
_4,4,3-5 years,1
_5,5,3-5 years,0
_6,6,5-10 years,1
_7,7,5-10 years,0
_8,8,5-10 years,0
_9,9,5-10 years,0
_10,10,5-10 years,0
_10+,11,10+ years,1
