KEY,MOSS,DISPLAY,IS_DISPLAY
_SUPERIOR_PROTECTION,Superior Protection,Superior Protection,1
_STANDARD_PROTECTION,Standard Protection,Standard Protection,1
_BASIC_PROTECTION,Basic Protection,Basic Protection,1
_STATE_MINIMUM,State Minimum,State Minimum,1

