KEY,MOSS,DISPLAY,IS_DISPLAY
_FIRE_HAIL_WATER_DAMAGE,Fire Hail Water Damage,Fire Hail Water Damage,1
_VANDALISM_DAMAGE,Vandalism Damage,Vandalism Damage,1
_VEHICLE_HIT_ANIMAL,Vehicle Hit Animal,Vehicle Hit Animal,1
_VEHICLE_STOLEN,Vehicle Stolen,Vehicle Stolen,1
_WINDSHIELD_DAMAGE,Windshield Damage,Windshield Damage,1
_LOSS_CLAIM_NOT_LISTED,Loss Claim Not Listed,Loss Claim Not Listed,1
