KEY,MOSS,DISPLAY,IS_DISPLAY
_NO_COVER,No Cover,No Cover,0
_CARPORT,Carport,Carport,0
_GARAGE,Garage,Garage,1
_LOCKED,Locked,Locked,0
_PARKING_LOT,Parking Lot,Parking Lot,1
_PRIVATE,Private,Private,1
_STREET,Street,Street,1
_OTHER,Other,Other,1
