KEY,MOSS,DISPLAY,IS_DISPLAY
_0,0,0,1
_1,1,1,1
_2,2,2,1
_3,3,3,1
_4,4,4,1
_5,5,5,1
_6,6,6,1
_7,7,7,1
_8,8,8,1
_9,9,9,1
_10,10,10,1
_11,11,11,1
