KEY,MOSS,DISPLAY,IS_DISPLAY
_No_Coverage,No Coverage,No Coverage,1
_100,100,$100,1
_200,200,$200,0
_250,250,$250,1
_500,500,$500,1
_1000,1000,"$1,000",1
